IQ,RPM
33,804
65,803
54,804
48,804
32,803
38,804
31,804
32,804
46,804
46,804
39,804
38,803
23,804
24,805
27,803
28,804
43,804
27,803
33,803
36,803
38,803
49,804
34,803
41,804
58,803
60,804
67,803
34,803
87,804
69,804
18,804
44,804
48,804
26,804
43,804
33,804
32,803
39,803
26,803
40,803
9,804
15,803
57,804
12,803
14,803
41,803
59,804
48,803
58,804
42,804
46,804
42,804
58,803
65,804
65,804
29,803
72,804
25,804
74,804
46,803
39,804
47,803
41,804
31,803
40,803
39,803
31,803
21,804
18,804
24,803
39,804
27,803
46,803
39,804
34,804
33,804
41,804
40,804
47,804
53,803
49,803
52,804
56,804
61,803
65,803
24,804
15,804
36,803
48,803
57,803
39,803
44,804
31,804
32,804
30,804
34,804
36,804
27,803
24,803
24,804
42,803
42,804
25,804
42,803
19,803
45,804
29,804
37,803
40,803
22,804
49,803
47,804
58,804
48,803
15,804
48,804
27,803
53,804
39,804
46,803
36,804
36,804
25,803
47,804
46,804
36,804
42,804
15,804
17,805
51,803
5,804
41,803
32,803
48,804
35,804
47,804
33,804
42,803
51,803
56,803
28,804
49,803
16,804
66,801
60,803
46,805
52,804
32,803
36,803
41,804
38,803
44,803
40,804
8,803
37,803
46,804
32,803
42,803
51,803
47,804
51,804
25,804
41,804
41,804
42,803
46,803
66,803
32,803
56,804
73,803
58,803
24,803
55,804
32,804
24,803
42,804
38,803
38,804
41,804
28,804
38,803
41,803
27,803
27,804
15,804
41,804
18,803
28,804
34,804
51,804
41,804
37,803
38,803
40,803
43,804
50,803
40,804
70,804
58,803
72,803
72,804
78,803
50,804
48,804
47,803
46,803
30,803
34,803
30,803
22,804
21,804
27,804
39,804
23,804
80,804
46,804
14,801
31,804
50,804
41,804
41,804
38,804
43,803
34,804
60,804
31,804
18,804
58,804
80,803
71,803
51,804
58,801
41,803
32,804
44,803
41,803
32,804
28,804
34,804
38,804
46,803
39,803
1,803
33,803
19,804
47,804
51,804
17,804
36,803
43,803
43,803
41,804
49,804
63,804
52,803
46,803
74,803
56,803
55,804
23,804
42,797
39,804
33,804
41,804
41,803
28,803
30,804
31,803
36,803
13,804
7,804
24,804
36,804
61,804
34,804
22,804
34,803
41,804
48,804
40,804
39,804
50,803
43,804
60,804
64,804
64,804
73,803
75,803
28,804
50,804
31,804
32,803
32,812
31,804
32,804
32,804
23,801
36,803
24,804
30,804
17,804
37,804
56,803
78,803
34,804
27,804
35,804
47,803
41,804
33,803
52,801
59,804
61,804
58,804
48,803
38,803
33,803
45,803
39,804
32,804
41,805
36,812
38,803
51,804
22,804
23,804
4,803
33,804
55,803
49,803
8,804
43,804
32,804
33,803
35,804
43,803
49,804
52,803
49,804
45,803
56,803
40,804
58,804
71,803
39,804
59,803
30,804
58,801
54,804
38,804
36,803
39,803
31,803
13,804
40,803
33,807
23,803
56,804
36,803
9,804
4,803
42,804
34,803
38,804
42,804
34,804
35,804
59,803
55,803
51,803
64,804
33,803
77,804
24,803
40,803
33,803
14,803
23,803
43,804
23,803
37,803
31,804
35,804
32,804
39,804
31,803
41,803
37,804
33,804
34,804
26,804
41,804
40,804
47,804
52,803
49,804
40,804
61,804
36,803
51,803
16,804
49,804
36,804
2,803
65,804
39,804
41,804
39,804
38,804
38,804
40,804
20,804
51,803
24,804
32,804
19,804
8,804
29,804
11,803
33,804
40,803
38,803
47,804
43,803
41,804
43,804
51,803
73,804
57,803
49,804
33,803
59,803
56,804
31,804
26,804
32,804
32,803
28,803
39,804
25,803
66,803
23,804
31,804
16,804
27,803
28,803
47,803
32,803
33,803
43,804
33,804
37,804
34,804
31,803
55,804
74,804
58,804
57,803
31,803
69,804
50,804
84,804
31,804
51,803
37,804
37,803
38,803
31,804
26,803
27,803
18,803
15,804
49,803
18,804
19,804
43,805
33,804
42,805
46,804
42,804
46,804
35,803
58,803
65,804
41,804
36,804
32,801
58,804
55,804
33,803
39,804
39,803
30,804
40,804
26,804
44,803
31,803
14,803
4,804
33,804
15,804
26,804
32,804
52,804
32,804
41,804
27,803
38,803
34,804
38,803
41,803
30,803
64,804
63,804
88,807
72,804
79,804
59,803
45,805
48,804
38,804
29,804
35,803
30,803
38,804
44,804
44,804
33,804
31,803
32,803
42,804
42,803
15,803
42,803
41,803
40,801
33,803
47,804
35,803
58,804
61,804
19,803
33,804
50,803
31,803
69,803
50,803
28,804
47,803
39,804
34,803
36,804
25,803
31,801
33,803
27,803
12,804
47,804
25,804
30,803
42,803
43,804
32,804
42,803
38,803
42,803
46,803
42,804
58,803
52,803
37,804
74,803
64,803
66,805
22,803
103,804
30,803
39,803
41,804
40,804
35,803
36,804
31,803
17,803
9,804
13,804
32,804
42,804
51,804
38,804
14,795
49,803
35,804
43,804
38,804
43,804
65,803
50,805
86,803
76,804
65,803
32,803
63,803
79,803
35,804
32,803
23,803
29,804
32,804
36,803
16,804
34,804
34,804
42,804
38,804
8,801
58,803
32,804
34,803
42,804
41,804
39,803
33,803
53,803
52,803
57,803
15,804
61,803
52,803
41,803
1,803
63,804
27,804
48,804
31,803
51,804
32,804
61,803
32,804
40,804
32,804
19,803
29,803
46,803
9,804
24,804
51,804
34,804
50,803
34,803
40,803
52,803
42,803
43,804
61,803
43,803
57,803
49,804
56,803
40,803
71,803
36,804
39,804
46,804
28,803
32,803
26,804
29,803
31,804
29,803
18,803
15,803
55,804
25,803
12,804
38,803
34,803
33,803
35,804
34,804
43,804
48,804
49,803
63,804
47,804
61,804
59,804
32,804
62,803
56,804
33,800
49,804
26,803
32,803
40,804
30,803
31,804
41,804
23,804
23,804
11,803
40,803
2,803
47,804
30,805
31,804
49,804
43,804
38,803
37,803
42,803
12,801
52,803
70,803
43,804
72,803
56,805
66,803
55,803
50,803
48,804
32,804
36,804
41,804
32,804
40,804
23,804
31,803
