IQ,RPM
40,1004
32,1004
35,1004
26,1004
13,1006
32,1006
19,1004
18,1004
12,1004
38,1004
25,1004
35,1004
36,1006
42,1006
53,1004
42,1004
70,1004
70,1004
60,1004
25,1004
67,1006
60,1006
41,1006
34,1006
36,1004
34,1004
23,1003
26,1004
14,1006
44,1006
37,1006
53,1006
39,1004
31,1003
36,1004
35,1004
39,1006
54,1006
45,1004
61,1004
65,1004
60,1004
52,1004
34,1004
42,1004
39,1006
25,1006
32,1006
27,1007
10,1004
22,1006
46,1004
27,1004
8,1004
26,1004
14,1006
25,1006
32,1006
44,1006
39,1004
61,1006
63,1004
65,1004
49,1004
68,1004
36,1004
48,1004
52,1004
49,1004
38,1006
36,1004
35,1004
8,1003
13,1004
27,1004
20,1004
60,1004
36,1004
31,1004
40,1004
32,1006
49,1006
30,1006
72,1004
38,1004
41,1004
40,1006
76,1004
96,1006
48,1006
59,1004
38,1006
40,1004
39,1004
11,1004
8,1004
46,1004
31,1004
36,1006
2,1004
7,1006
23,1004
17,1004
41,1004
36,1006
39,1006
42,1004
50,1004
65,1004
87,1004
67,1004
66,1004
35,1004
57,1004
29,1004
44,1006
33,1006
43,1004
33,1004
31,1004
54,1004
20,1004
48,1004
30,1006
39,1006
40,1006
39,1004
48,1006
49,1004
42,1004
63,1004
57,1004
86,1004
69,1004
73,1004
66,1004
40,1004
43,1004
43,1004
30,1004
35,1004
3,1004
38,1004
2,1004
45,1004
17,1004
49,1006
19,1006
33,1004
33,1006
40,1006
35,1004
63,1004
45,1004
49,1004
72,1003
83,1004
72,1004
39,1004
32,1006
39,1004
43,1004
31,1004
27,1004
33,1004
42,1006
38,1006
29,1004
26,1004
21,1004
12,1004
33,1004
35,1004
51,1008
48,1006
70,1004
72,1004
70,1004
63,1004
51,1004
45,1006
41,1004
48,1006
48,1006
39,1004
45,1004
44,1006
27,1004
14,1004
16,1004
39,1004
16,1006
5,1006
23,1006
26,1004
35,1004
32,1004
51,1004
41,1004
48,1004
40,1004
62,1004
83,1004
74,1004
63,1004
40,1004
41,1004
34,1004
34,1004
2,1004
37,1004
28,1004
39,1004
45,1004
18,1007
28,1004
40,1006
33,1006
25,1004
37,1006
53,1006
72,1004
66,1006
33,1006
70,1004
66,1004
73,1004
47,1006
48,1004
44,1004
44,1004
43,1004
36,1004
28,1004
14,1004
10,1004
30,1004
14,1006
37,1004
32,1004
43,1006
40,1006
31,1006
53,1006
65,1006
76,1004
81,1004
70,1004
44,1006
68,1004
41,1004
70,1006
28,1006
33,1004
36,1004
48,1004
16,1006
32,1004
32,1004
41,1006
38,1006
41,1004
32,1006
26,1006
36,1004
30,1006
31,1004
65,1004
62,1004
75,1003
53,1004
73,1004
58,1004
37,1003
40,1004
38,1004
31,1004
34,1004
18,1004
39,1004
40,1004
25,1004
9,1006
15,1006
14,1003
23,1006
28,1006
44,1004
39,1007
53,1006
37,1003
29,1002
46,1004
77,1004
81,1004
40,1004
41,1003
48,1004
42,1004
39,1004
33,1006
28,1004
17,1006
28,1006
33,1006
2,1004
39,1004
41,1004
32,1006
33,1006
40,1006
42,1004
45,1006
40,1004
43,1006
50,1004
93,1004
75,1004
40,1004
43,1006
46,1006
40,1004
37,1004
33,1004
32,1004
25,1003
34,1004
27,1006
40,1006
53,1006
23,1004
16,1006
26,1004
40,1004
19,1004
44,1004
63,1004
80,1003
74,1003
84,1004
49,1004
70,1003
41,1006
48,1004
44,1004
41,1006
21,1006
30,1004
30,1006
25,1004
147,1004
50,1006
25,1004
16,1006
32,1006
34,1006
49,1006
42,1004
53,1004
54,1004
33,1006
49,1004
60,1004
91,1004
79,1004
42,1006
46,1003
31,1004
32,1004
27,1004
30,1006
17,1003
93,1006
19,1004
4,1004
40,1004
42,1006
40,1006
41,1006
31,1006
48,1004
54,1006
66,1004
90,1006
65,1004
75,1003
58,1004
61,1003
33,1004
23,1004
35,1004
42,1004
35,1004
30,1004
22,1004
17,1004
35,1006
23,1004
26,1006
41,1004
33,1004
32,1006
44,1006
45,1004
62,1004
63,1004
65,1004
25,1004
60,1006
21,1004
57,1004
57,1004
41,1004
44,1006
38,1006
43,1004
21,1004
8,1004
28,1004
20,1006
30,1004
18,1002
32,1006
66,1006
35,1006
54,1004
39,1004
70,1004
37,1006
81,1006
70,1004
59,1006
70,1004
47,1004
48,1004
48,1004
34,1004
37,1004
36,1006
38,1003
28,1006
24,1006
53,1004
18,1004
8,1004
23,1004
17,1006
24,1006
34,1006
52,1006
71,1004
66,1004
79,1004
71,1004
67,1004
65,1004
62,1004
40,1004
45,1004
43,1006
36,1003
19,1004
19,1003
18,1006
2,1006
5,1006
46,1006
28,1006
29,1004
40,1004
37,1004
46,1006
46,1006
