IQ,RPM
37,1080
44,1088
63,1088
56,1087
53,1087
64,1087
47,1088
51,1087
52,1087
81,1087
100,1087
92,1087
84,1087
58,1087
55,1087
52,1087
47,1088
35,1088
43,1087
53,1087
9,1087
30,1087
29,1087
50,1087
40,1088
26,1087
40,1088
46,1088
54,1087
79,1087
53,1088
70,1087
41,1087
34,1087
51,1088
48,1088
38,1088
45,1087
43,1087
27,1087
32,1087
17,1085
15,1087
24,1088
38,1087
33,1087
41,1087
35,1087
37,1087
42,1087
44,1087
26,1087
45,1087
74,1087
52,1088
42,1087
46,1087
39,1087
20,1087
27,1088
28,1087
32,1087
32,1088
42,1087
29,1087
50,1088
25,1087
38,1088
26,1087
36,1088
56,1087
48,1088
81,1087
61,1087
41,1087
53,1087
51,1088
46,1088
42,1088
48,1087
27,1087
45,1088
32,1087
50,1087
30,1087
28,1087
29,1087
40,1088
38,1087
53,1088
53,1087
69,1088
72,1087
79,1087
31,1087
74,1087
87,1087
57,1088
64,1092
55,1087
57,1087
52,1088
54,1088
40,1088
34,1087
27,1087
53,1087
44,1088
53,1087
56,1087
58,1087
58,1088
62,1088
72,1088
70,1087
88,1087
53,1088
61,1087
79,1088
39,1087
54,1088
53,1087
40,1088
35,1087
58,1087
27,1087
50,1087
30,1088
57,1088
29,1087
17,1087
37,1087
44,1087
52,1087
54,1087
49,1087
54,1087
54,1087
57,1087
17,1088
42,1087
46,1087
50,1088
42,1088
51,1088
27,1088
18,1087
25,1087
23,1088
19,1087
36,1087
40,1087
32,1087
33,1087
39,1088
37,1087
34,1087
63,1088
77,1087
85,1087
52,1087
33,1088
44,1089
29,1088
27,1088
28,1088
28,1087
48,1087
25,1087
16,1088
12,1088
42,1088
54,1087
24,1087
33,1087
30,1087
51,1087
48,1087
60,1085
77,1087
35,1087
48,1087
33,1087
39,1089
34,1087
32,1087
52,1088
51,1088
37,1088
25,1088
62,1088
43,1087
29,1087
40,1087
46,1087
49,1087
51,1085
61,1087
76,1087
85,1087
94,1088
101,1087
78,1087
59,1087
72,1088
62,1088
57,1088
52,1088
54,1087
49,1087
41,1087
52,1088
45,1087
37,1087
55,1088
51,1087
48,1087
58,1088
54,1087
52,1087
84,1087
94,1087
84,1084
91,1087
67,1087
67,1087
53,1087
48,1088
47,1088
45,1088
43,1088
37,1088
34,1087
69,1088
43,1087
41,1087
40,1087
35,1088
48,1088
45,1088
53,1081
70,1087
51,1087
77,1087
74,1088
31,1088
33,1087
46,1088
48,1088
40,1088
44,1087
27,1087
54,1087
18,1087
24,1088
16,1085
19,1088
34,1088
32,1088
29,1087
53,1087
40,1087
34,1088
26,1087
53,1087
61,1087
61,1087
59,1087
45,1087
39,1087
29,1087
19,1088
7,1088
12,1088
42,1088
25,1087
29,1087
41,1087
33,1087
32,1088
34,1088
30,1088
56,1087
66,1087
72,1087
76,1087
80,1087
52,1085
52,1087
39,1087
53,1087
46,1087
44,1087
46,1087
92,1085
25,1087
31,1088
33,1088
35,1088
40,1088
53,1088
50,1088
57,1085
70,1087
62,1087
